Pass 1 of 2
Window size 32
Rows 124
Cols 124
image_x,image_y,U,V
1,1,5.000000000000,-5.000000000000
17,1,5.000000000000,-5.000000000000
33,1,5.000000000000,-5.000000000000
49,1,5.000000000000,-5.000000000000
65,1,5.000000000000,-5.000000000000
81,1,5.000000000000,-5.000000000000
97,1,5.000000000000,-5.000000000000
113,1,5.000000000000,-5.000000000000
129,1,5.000000000000,-5.000000000000
145,1,5.000000000000,-5.000000000000
161,1,5.000000000000,-5.000000000000
177,1,5.000000000000,-5.000000000000
193,1,5.000000000000,-5.000000000000
209,1,5.000000000000,-5.000000000000
225,1,-5.000000000000,0.000000000000
241,1,5.000000000000,-5.000000000000
257,1,5.000000000000,-5.000000000000
273,1,5.000000000000,-5.000000000000
289,1,5.000000000000,-5.000000000000
305,1,5.000000000000,-5.000000000000
321,1,5.000000000000,-5.000000000000
337,1,5.000000000000,-5.000000000000
353,1,5.000000000000,-5.000000000000
369,1,5.000000000000,-5.000000000000
385,1,5.000000000000,-5.000000000000
401,1,5.000000000000,-5.000000000000
417,1,5.000000000000,-5.000000000000
433,1,5.000000000000,-5.000000000000
449,1,5.000000000000,-5.000000000000
465,1,5.000000000000,-5.000000000000
481,1,5.000000000000,-5.000000000000
497,1,5.000000000000,-5.000000000000
513,1,5.000000000000,-5.000000000000
529,1,5.000000000000,-5.000000000000
545,1,5.000000000000,-5.000000000000
561,1,5.000000000000,-5.000000000000
577,1,5.000000000000,-5.000000000000
593,1,5.000000000000,-5.000000000000
609,1,5.000000000000,-5.000000000000
625,1,5.000000000000,-5.000000000000
641,1,5.000000000000,-5.000000000000
657,1,5.000000000000,-5.000000000000
673,1,5.000000000000,-5.000000000000
689,1,5.000000000000,-5.000000000000
705,1,5.000000000000,-5.000000000000
721,1,5.000000000000,-5.000000000000
737,1,5.000000000000,-5.000000000000
753,1,5.000000000000,-5.000000000000
769,1,5.000000000000,-5.000000000000
785,1,5.000000000000,-5.000000000000
801,1,5.000000000000,-5.000000000000
817,1,5.000000000000,-5.000000000000
833,1,5.000000000000,-5.000000000000
849,1,5.000000000000,-5.000000000000
865,1,5.000000000000,-5.000000000000
881,1,5.000000000000,-5.000000000000
897,1,5.000000000000,-5.000000000000
913,1,5.000000000000,-5.000000000000
929,1,5.000000000000,-5.000000000000
945,1,5.000000000000,-5.000000000000
961,1,5.000000000000,-5.000000000000
977,1,5.000000000000,-5.000000000000
993,1,5.000000000000,-5.000000000000
1009,1,5.000000000000,-5.000000000000
1025,1,5.000000000000,-5.000000000000
1041,1,5.000000000000,-5.000000000000
1057,1,5.000000000000,-5.000000000000
1073,1,5.000000000000,-5.000000000000
1089,1,5.000000000000,-5.000000000000
1105,1,5.000000000000,-5.000000000000
1121,1,5.000000000000,-5.000000000000
1137,1,5.000000000000,-5.000000000000
1153,1,5.000000000000,-5.000000000000
1169,1,5.000000000000,-5.000000000000
1185,1,5.000000000000,-5.000000000000
1201,1,5.000000000000,-5.000000000000
1217,1,5.000000000000,-5.000000000000
1233,1,5.000000000000,-5.000000000000
1249,1,5.000000000000,-5.000000000000
1265,1,5.000000000000,-5.000000000000
1281,1,5.000000000000,-5.000000000000
1297,1,5.000000000000,-5.000000000000
1313,1,5.000000000000,-5.000000000000
1329,1,5.000000000000,-5.000000000000
1345,1,5.000000000000,-5.000000000000
1361,1,5.000000000000,-5.000000000000
1377,1,5.000000000000,-5.000000000000
1393,1,5.000000000000,-5.000000000000
1409,1,5.000000000000,-5.000000000000
1425,1,5.000000000000,-5.000000000000
1441,1,5.000000000000,-5.000000000000
1457,1,5.000000000000,-5.000000000000
1473,1,5.000000000000,-5.000000000000
1489,1,5.000000000000,-5.000000000000
1505,1,5.000000000000,-5.000000000000
1521,1,5.000000000000,-5.000000000000
1537,1,5.000000000000,-5.000000000000
1553,1,5.000000000000,-5.000000000000
1569,1,5.000000000000,-5.000000000000
1585,1,5.000000000000,-5.000000000000
1601,1,5.000000000000,-5.000000000000
1617,1,5.000000000000,-5.000000000000
1633,1,5.000000000000,-5.000000000000
1649,1,5.000000000000,-5.000000000000
1665,1,5.000000000000,-5.000000000000
1681,1,5.000000000000,-5.000000000000
1697,1,5.000000000000,-5.000000000000
1713,1,5.000000000000,-5.000000000000
1729,1,5.000000000000,-5.000000000000
1745,1,5.000000000000,-5.000000000000
1761,1,5.000000000000,-5.000000000000
1777,1,5.000000000000,-5.000000000000
1793,1,5.000000000000,-5.000000000000
1809,1,5.000000000000,-5.000000000000
1825,1,5.000000000000,-5.000000000000
1841,1,5.000000000000,-5.000000000000
1857,1,5.000000000000,-5.000000000000
1873,1,5.000000000000,-5.000000000000
1889,1,5.000000000000,-5.000000000000
1905,1,5.000000000000,-5.000000000000
1921,1,5.000000000000,-5.000000000000
1937,1,5.000000000000,-5.000000000000
1953,1,5.000000000000,-5.000000000000
1969,1,5.000000000000,-5.000000000000
1,17,5.000000000000,-5.000000000000
17,17,5.000000000000,-5.000000000000
33,17,5.000000000000,-5.000000000000
49,17,5.000000000000,-5.000000000000
65,17,5.000000000000,-5.000000000000
81,17,5.000000000000,-5.000000000000
97,17,5.000000000000,-5.000000000000
113,17,5.000000000000,-5.000000000000
129,17,5.000000000000,-5.000000000000
145,17,5.000000000000,-5.000000000000
161,17,5.000000000000,-5.000000000000
177,17,5.000000000000,-5.000000000000
193,17,5.000000000000,-5.000000000000
209,17,5.000000000000,-5.000000000000
225,17,5.000000000000,-5.000000000000
241,17,5.000000000000,-5.000000000000
257,17,5.000000000000,-5.000000000000
273,17,5.000000000000,-5.000000000000
289,17,5.000000000000,-5.000000000000
305,17,5.000000000000,-5.000000000000
321,17,5.000000000000,-5.000000000000
337,17,5.000000000000,-5.000000000000
353,17,5.000000000000,-5.000000000000
369,17,5.000000000000,-5.000000000000
385,17,5.000000000000,-5.000000000000
401,17,5.000000000000,-5.000000000000
417,17,5.000000000000,-5.000000000000
433,17,-11.000000000000,-11.000000000000
449,17,5.000000000000,-5.000000000000
465,17,5.000000000000,-5.000000000000
481,17,5.000000000000,-5.000000000000
497,17,5.000000000000,-5.000000000000
513,17,5.000000000000,-5.000000000000
529,17,5.000000000000,-5.000000000000
545,17,5.000000000000,-5.000000000000
561,17,5.000000000000,-5.000000000000
577,17,5.000000000000,-5.000000000000
593,17,5.000000000000,-5.000000000000
609,17,5.000000000000,-5.000000000000
625,17,5.000000000000,-5.000000000000
641,17,5.000000000000,-5.000000000000
657,17,5.000000000000,-5.000000000000
673,17,5.000000000000,-5.000000000000
689,17,5.000000000000,-5.000000000000
705,17,5.000000000000,-5.000000000000
721,17,5.000000000000,-5.000000000000
737,17,5.000000000000,-5.000000000000
753,17,5.000000000000,-5.000000000000
769,17,5.000000000000,-5.000000000000
785,17,5.000000000000,-5.000000000000
801,17,5.000000000000,-5.000000000000
817,17,5.000000000000,-5.000000000000
833,17,5.000000000000,-5.000000000000
849,17,5.000000000000,-5.000000000000
865,17,5.000000000000,-5.000000000000
881,17,5.000000000000,-5.000000000000
897,17,5.000000000000,-5.000000000000
913,17,5.000000000000,-5.000000000000
929,17,5.000000000000,-5.000000000000
945,17,5.000000000000,-5.000000000000
961,17,5.000000000000,-5.000000000000
977,17,5.000000000000,-5.000000000000
993,17,5.000000000000,-5.000000000000
1009,17,5.000000000000,-5.000000000000
1025,17,5.000000000000,-5.000000000000
1041,17,5.000000000000,-5.000000000000
1057,17,5.000000000000,-5.000000000000
1073,17,5.000000000000,-5.000000000000
1089,17,5.000000000000,-5.000000000000
1105,17,5.000000000000,-5.000000000000
1121,17,4.000000000000,-4.000000000000
1137,17,5.000000000000,-5.000000000000
1153,17,5.000000000000,-5.000000000000
1169,17,5.000000000000,-5.000000000000
1185,17,5.000000000000,-5.000000000000
1201,17,5.000000000000,-5.000000000000
1217,17,5.000000000000,-5.000000000000
1233,17,5.000000000000,-5.000000000000
1249,17,5.000000000000,-5.000000000000
1265,17,5.000000000000,-5.000000000000
1281,17,5.000000000000,-5.000000000000
1297,17,5.000000000000,-5.000000000000
1313,17,5.000000000000,-5.000000000000
1329,17,5.000000000000,-5.000000000000
1345,17,5.000000000000,-5.000000000000
1361,17,5.000000000000,-5.000000000000
1377,17,5.000000000000,-5.000000000000
1393,17,5.000000000000,-5.000000000000
1409,17,5.000000000000,-5.000000000000
1425,17,0.000000000000,11.000000000000
1441,17,5.000000000000,-5.000000000000
1457,17,5.000000000000,-5.000000000000
1473,17,5.000000000000,-5.000000000000
1489,17,5.000000000000,-5.000000000000
1505,17,5.000000000000,-5.000000000000
1521,17,5.000000000000,-5.000000000000
1537,17,5.000000000000,-5.000000000000
1553,17,5.000000000000,-5.000000000000
1569,17,5.000000000000,-5.000000000000
1585,17,5.000000000000,-5.000000000000
1601,17,5.000000000000,-5.000000000000
1617,17,5.000000000000,-5.000000000000
1633,17,5.000000000000,-5.000000000000
1649,17,5.000000000000,-5.000000000000
1665,17,5.000000000000,-5.000000000000
1681,17,5.000000000000,-5.000000000000
1697,17,5.000000000000,-5.000000000000
1713,17,5.000000000000,-5.000000000000
1729,17,5.000000000000,-5.000000000000
1745,17,5.000000000000,-5.000000000000
1761,17,5.000000000000,-5.000000000000
1777,17,5.000000000000,-5.000000000000
1793,17,5.000000000000,-5.000000000000
